last_name, first_name,player_id,year,xslg被長打率,exit_velocity_avg擊球初速,launch_angle_avg擊球仰角,hard_hit_percent強擊球率,z_swing_miss_percent揮空率,groundballs_percent滾地球比,flyballs_percent飛球比,ff_avg_spin轉速
Naughton, Packy,676050,2021,0.407,86.6,4.3,40.7,14.3,51.9,14.8,2035
Gomber, Austin,596295,2021,0.409,88,11.8,33.8,17.5,44.7,27.2,2028
Dunning, Dane,641540,2021,0.419,89.2,6.7,43.5,15.5,54.2,18.4,2027
Mayza, Tim,641835,2021,0.319,86,2.6,32.6,14.5,58,13.8,2025
Wilson, Bryse,669060,2021,0.503,89,14.1,42.7,14.6,37.2,25.3,2024
Price, David,456034,2021,0.384,86.8,8.3,35,18.1,50.6,16.5,2019
Sampson, Adrian,592716,2021,0.469,89.1,14.2,42.7,13.5,44.7,28.2,2018
Sanchez, Aaron,592717,2021,0.343,86.5,5.6,36,14.8,53.2,21.6,2016
Slegers, Aaron,642083,2021,0.428,88.3,5,40.7,14.9,59.3,15.7,2011
Trivino, Lou,642152,2021,0.394,87.4,9.8,33.8,18.4,48.5,24.5,2008
Parker, Blake,453284,2021,0.4,86.7,16.6,31.8,17.1,40.2,27.3,2002
Burr, Ryan,621114,2021,0.323,91.1,5,47.9,13,58.3,18.8,2001
Tate, Dillon,622253,2021,0.368,87.6,0.9,38,16.2,61.1,17.3,2000
Yarbrough, Ryan,642232,2021,0.436,84.8,17.3,28.2,16,36.8,25.2,1999
Diaz, Yennsy,660546,2021,0.401,89.8,20.5,39.7,19,32.1,34.6,1996
Smith, Joe,501925,2021,0.389,87.9,9.5,35.2,12.2,50,22.7,1995
LeBlanc, Wade,453281,2021,0.488,87.8,16.7,36.8,17.1,37.4,25.7,1994
Allen, Logan,663531,2021,0.526,90.2,8.8,45.1,15.8,45.1,25.6,1994
Vest, Will,676684,2021,0.416,89.9,10,37,20.9,41.7,22.2,1989
Lopez, Jorge,605347,2021,0.45,89.7,5.7,43.5,14.3,50.7,19.9,1977
Bass, Anthony,542914,2021,0.441,88.9,10.7,40,14.7,45.1,26.3,1976
Gsellman, Robert,607229,2021,0.427,86.3,7.4,31.5,14.2,48.9,21.7,1972
Claudio, Alex,592222,2021,0.427,88,6.2,40.8,15.3,51.5,18.4,1964
Irvin, Cole,608344,2021,0.446,89.3,16.2,39.3,15.4,38.6,26.2,1957
Pineda, Michael,501381,2021,0.475,91.2,15.3,46.7,13.3,40.9,26.5,1946
Ryu, Hyun Jin,547943,2021,0.44,89.6,9.8,41.6,16.3,47.2,22.9,1944
Castillo, Diego,650895,2021,0.312,88.3,10.9,38.2,17.3,51.5,25,1944
Hendricks, Kyle,543294,2021,0.455,86.3,11.1,33,15.4,44.6,22.3,1942
Suarez, Ranger,624133,2021,0.278,86.7,4.4,31.1,19.8,59.7,19,1932
Kintzler, Brandon,445213,2021,0.519,91.7,3.1,48.2,10,58.2,14.5,1929
Anderson, Brett,474463,2021,0.472,90.9,3,47,6.7,58.9,15.6,1898
Peralta, Wily,503449,2021,0.423,89.1,8.7,38.2,14.9,50.8,21.6,1875
Crichton, Stefan,592233,2021,0.385,90.5,15.1,45.2,11.9,44,21.4,1855
Rogers, Tyler,643511,2021,0.303,85.4,4.6,32,14.8,58.1,17,1853
Fedde, Erick,607200,2021,0.457,89.8,7.3,40.6,14.6,51.3,22.2,1850
Fleming, Josh,676596,2021,0.433,87.5,2.9,35,12.6,56.4,17.8,1842
Harper, Ryne,607560,2021,0.352,83.7,13.9,28.7,16,43.6,25.7,1822
Eshelman, Thomas,664045,2021,0.462,88.6,19,33.7,9,37.5,31.7,1821
Falter, Bailey,663559,2021,0.379,88.9,15.4,37.1,20.8,37.1,26.8,1769
